Referee,Team,Games,Total fouls,Shooting,Personal,Technical
Scott Foster,MEM,19,15.789473684210526,8.157894736842104,4.315789473684211,0.15789473684210525
Scott Foster,MIA,47,15.48936170212766,6.531914893617022,5.212765957446808,0.1702127659574468
Scott Foster,MIL,40,14.225,6.65,4.55,0.075
Scott Foster,MIN,31,16.387096774193548,7.548387096774194,5.064516129032258,0.25806451612903225
Scott Foster,NOP,29,15.482758620689655,7.793103448275862,4.413793103448276,0.13793103448275862
Scott Foster,NYK,37,15.72972972972973,7.1891891891891895,4.405405405405405,0.16216216216216217
Scott Foster,OKC,23,16.17391304347826,7.086956521739131,5.086956521739131,0.30434782608695654
Scott Foster,ORL,24,14.541666666666666,6.166666666666667,4.291666666666667,0.4583333333333333
Scott Foster,PHI,47,15.72340425531915,7.191489361702128,5.51063829787234,0.2978723404255319
Scott Foster,PHX,25,16.92,7.92,4.64,0.52
Scott Foster,POR,35,15.228571428571428,7.6571428571428575,4.4,0.2857142857142857
Scott Foster,SAC,25,14.68,6.48,5.04,0.2
Scott Foster,SAS,32,14,6.40625,4.3125,0.1875
Scott Foster,TOR,37,15.72972972972973,6.8108108108108105,5,0.35135135135135137
Scott Foster,UTA,40,14.65,6.675,4.8,0.175
Scott Foster,WAS,33,15.484848484848484,7.424242424242424,4.7272727272727275,0.30303030303030304
Scott Twardoski,ATL,19,12.105263157894736,5.947368421052632,3.6842105263157894,0.05263157894736842
Scott Twardoski,BKN,27,13.222222222222221,7,3.814814814814815,0.18518518518518517
Scott Twardoski,BOS,23,12.869565217391305,6.217391304347826,4.260869565217392,0.2608695652173913
Scott Twardoski,CHA,23,11.608695652173912,6.217391304347826,2.869565217391304,0.08695652173913043
Scott Twardoski,CHI,26,11.692307692307692,6.115384615384615,3.3461538461538463,0.038461538461538464
Scott Twardoski,CLE,31,12.612903225806452,6.193548387096774,4.193548387096774,0.16129032258064516
Scott Twardoski,DAL,30,12.633333333333333,6,3.966666666666667,0.13333333333333333
Scott Twardoski,DEN,30,12.766666666666667,5.8,4.5,0.16666666666666666
Scott Twardoski,DET,20,13.35,6.5,5.05,0.25
Scott Twardoski,GSW,35,12.114285714285714,6.514285714285714,3.6285714285714286,0.2
Scott Twardoski,HOU,23,12.217391304347826,6.304347826086956,3.347826086956522,0.34782608695652173
Scott Twardoski,IND,24,13.166666666666666,6.708333333333333,3.7083333333333335,0.08333333333333333
Scott Twardoski,LAC,32,13.40625,6.09375,4.875,0.15625
Scott Twardoski,LAL,40,13.725,6.925,4.2,0.2
Scott Twardoski,MEM,32,13.84375,7.25,3.96875,0.21875
Scott Twardoski,MIA,20,13.25,7.1,4,0.15
Scott Twardoski,MIL,27,12.851851851851851,6.666666666666667,3.6296296296296298,0.2962962962962963
Scott Twardoski,MIN,31,13.387096774193548,6.354838709677419,3.6129032258064515,0.16129032258064516
Scott Twardoski,NOP,22,12.909090909090908,6.454545454545454,4.090909090909091,0.18181818181818182
Scott Twardoski,NYK,33,12.636363636363637,6.96969696969697,3.484848484848485,0.15151515151515152
Scott Twardoski,OKC,24,13.583333333333334,5.916666666666667,4.416666666666667,0.25
Scott Twardoski,ORL,21,12.238095238095237,6.857142857142857,3.5238095238095237,0.2857142857142857
Scott Twardoski,PHI,34,12.205882352941176,6.294117647058823,3.6176470588235294,0.11764705882352941
Scott Twardoski,PHX,39,13.256410256410257,7.256410256410256,3.717948717948718,0.23076923076923078
Scott Twardoski,POR,33,13.121212121212121,6.575757575757576,4.2727272727272725,0.21212121212121213
Scott Twardoski,SAC,25,12.64,5.8,4.4,0.08
Scott Twardoski,SAS,19,11.789473684210526,6.2105263157894735,3.526315789473684,0.05263157894736842
Scott Twardoski,TOR,23,13.478260869565217,6.739130434782608,4.6521739130434785,0.08695652173913043
Scott Twardoski,UTA,34,12.294117647058824,6.5588235294117645,3.5588235294117645,0.11764705882352941
Scott Twardoski,WAS,24,12.25,5.541666666666667,4.416666666666667,0.4583333333333333
Scott Wall,ATL,34,14.352941176470589,7,4.705882352941177,0.14705882352941177
Scott Wall,BKN,30,15.433333333333334,7.766666666666667,5,0.13333333333333333
Scott Wall,BOS,27,12.851851851851851,6.7407407407407405,3.962962962962963,0.18518518518518517
Scott Wall,CHA,27,13.407407407407407,7.037037037037037,4.703703703703703,0.1111111111111111
Scott Wall,CHI,21,12.761904761904763,6.619047619047619,4.142857142857143,0.14285714285714285
Scott Wall,CLE,24,13.375,6.541666666666667,4.958333333333333,0.041666666666666664
Scott Wall,DAL,20,13.65,6.65,4.75,0.15
Scott Wall,DEN,16,14.25,6.8125,4.375,0.3125
Scott Wall,DET,24,14.416666666666666,6.625,4.916666666666667,0.5
Scott Wall,GSW,19,13.578947368421053,6.842105263157895,3.9473684210526314,0.21052631578947367
Scott Wall,HOU,26,14.23076923076923,7.653846153846154,4.153846153846154,0.19230769230769232
Scott Wall,IND,23,14.521739130434783,7.260869565217392,4.260869565217392,0.30434782608695654
Scott Wall,LAC,15,13.066666666666666,7.2,4.066666666666666,0.2
Scott Wall,LAL,19,14.421052631578947,7.052631578947368,4.052631578947368,0.15789473684210525
Scott Wall,MEM,24,14.875,7.416666666666667,4.541666666666667,0.375
Scott Wall,MIA,33,14.242424242424242,7.303030303030303,4.090909090909091,0.18181818181818182
Scott Wall,MIL,29,12.96551724137931,6.517241379310345,4.241379310344827,0.27586206896551724
Scott Wall,MIN,26,13.807692307692308,7.423076923076923,3.6538461538461537,0.3076923076923077
Scott Wall,NOP,27,13,6.777777777777778,4.111111111111111,0.18518518518518517
Scott Wall,NYK,25,14.12,7.36,4.28,0.2
Scott Wall,OKC,21,14.19047619047619,7,4.476190476190476,0.2857142857142857
Scott Wall,ORL,35,14.8,7.285714285714286,4.714285714285714,0.2571428571428571
Scott Wall,PHI,23,15.521739130434783,8.130434782608695,4.695652173913044,0.13043478260869565
Scott Wall,PHX,19,16.42105263157895,7.7368421052631575,5.473684210526316,0.2631578947368421
Scott Wall,POR,13,11.846153846153847,6.538461538461538,3.8461538461538463,0
Scott Wall,SAC,20,14.15,7.85,4.1,0.2
Scott Wall,SAS,25,13.12,7.16,3.8,0.12
Scott Wall,TOR,22,14.5,6.909090909090909,4.954545454545454,0.3181818181818182
Scott Wall,UTA,20,14.85,7.2,4.4,0.2
Scott Wall,WAS,27,13.555555555555555,7.518518518518518,3.2222222222222223,0.1111111111111111
Sean Corbin,ATL,19,13.736842105263158,6.947368421052632,4.578947368421052,0.10526315789473684
Sean Corbin,BKN,25,13.64,6.64,4.76,0.28
Sean Corbin,BOS,34,14.147058823529411,5.882352941176471,5.176470588235294,0.20588235294117646
Sean Corbin,CHA,25,13.16,7.16,3.72,0.12
Sean Corbin,CHI,18,14,6.111111111111111,5.222222222222222,0.2222222222222222
Sean Corbin,CLE,27,14.25925925925926,6.518518518518518,5.333333333333333,0.18518518518518517
Sean Corbin,DAL,24,15.083333333333334,7.458333333333333,4.583333333333333,0.5
Sean Corbin,DEN,26,14.307692307692308,6.923076923076923,4.653846153846154,0.11538461538461539
Sean Corbin,DET,24,15.791666666666666,6.583333333333333,6.916666666666667,0.25
Sean Corbin,GSW,24,13.333333333333334,6.458333333333333,4.625,0.16666666666666666
Sean Corbin,HOU,21,14.19047619047619,7.333333333333333,4.0476190476190474,0.23809523809523808
Sean Corbin,IND,30,13.533333333333333,6.2,5.033333333333333,0.03333333333333333
Sean Corbin,LAC,21,13.523809523809524,6.619047619047619,5.0476190476190474,0.23809523809523808
Sean Corbin,LAL,22,13.727272727272727,7.090909090909091,4.2727272727272725,0.13636363636363635
Sean Corbin,MEM,21,15.619047619047619,7,5.142857142857143,0.38095238095238093
Sean Corbin,MIA,32,15,7.15625,5.40625,0.21875
Sean Corbin,MIL,25,13.44,6.16,4.8,0.12
Sean Corbin,MIN,22,16.363636363636363,8.409090909090908,5.409090909090909,0.36363636363636365
Sean Corbin,NOP,26,14.692307692307692,6.538461538461538,5.615384615384615,0.23076923076923078
Sean Corbin,NYK,22,13.227272727272727,5.545454545454546,5.2272727272727275,0.13636363636363635
Sean Corbin,OKC,20,14.45,7.75,4.45,0.25
Sean Corbin,ORL,34,14.235294117647058,7.088235294117647,4.705882352941177,0.08823529411764706
Sean Corbin,PHI,26,13.961538461538462,6.346153846153846,5.269230769230769,0.23076923076923078
Sean Corbin,PHX,31,14.612903225806452,6.580645161290323,5.225806451612903,0.2903225806451613
Sean Corbin,POR,22,12.045454545454545,5.590909090909091,4.5,0.22727272727272727
Sean Corbin,SAC,28,15,6.857142857142857,5.892857142857143,0.17857142857142858
Sean Corbin,SAS,26,12.73076923076923,6.230769230769231,4.153846153846154,0.038461538461538464
Sean Corbin,TOR,27,14.962962962962964,7.074074074074074,5.296296296296297,0.37037037037037035
Sean Corbin,UTA,19,13.157894736842104,5.368421052631579,5.157894736842105,0.21052631578947367
Sean Corbin,WAS,25,15.28,6.48,5.88,0.08
Sean Wright,ATL,35,15.342857142857143,7.0285714285714285,5.514285714285714,0.2571428571428571
Sean Wright,BKN,35,15.257142857142858,7.314285714285714,5.285714285714286,0.3142857142857143
Sean Wright,BOS,46,14.58695652173913,6.217391304347826,5.565217391304348,0.30434782608695654
Sean Wright,CHA,34,15.970588235294118,7.294117647058823,5.294117647058823,0.14705882352941177
Sean Wright,CHI,28,14.607142857142858,6.678571428571429,4.928571428571429,0.35714285714285715
Sean Wright,CLE,28,14.642857142857142,6.321428571428571,5.821428571428571,0.17857142857142858
Sean Wright,DAL,39,15.461538461538462,7.128205128205129,5.076923076923077,0.1794871794871795
Sean Wright,DEN,48,14.6875,6.541666666666667,5.5,0.2708333333333333
